source ,hyperlink ,locality ,postcode ,house_is ,property_subtype ,price ,sale ,rooms_number ,area ,kitchen_has ,furnished ,open_fire ,terrace ,terrace_area ,garden ,garden_area ,land_surface ,Swimming pool,land_plot_surface ,facades_number,swimming_pool_has ,building_state 
2,https://www.realo.be/en/pierre-gasseestraat-7-1080-molenbeek-saint-jean/127880?l=467792588,"Pierre gasseestraat 7, 1080 Molenbeek-Saint-Jean",,False,Flat,"



545000

									€ 545.000
					",,3,307m2,No,No,Yes,No,,Yes,,,No,,,,No
2,https://www.realo.be/en/7500-tournai/5195305?l=218194141,7500 Tournai,,True,House,"



185000

									€ 185.000
					",,2,150m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/hille-125-8750-zwevezele/3834332?l=1993333464,"Hille 125 0202, 8750 Zwevezele, Wingene",,False,Flat,"



182000

									€ 182.000
					",,3,92m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/belgielaan-3-9051-sint-denijs-westrem/4253704?l=409946345,"Belgiëlaan 3, 9051 Sint-Denijs-Westrem",,True,House,"



665000

									€ 665.000
					",,3,245m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-du-chateau-41a-7730-estaimpuis/862858?l=1017304802,"Rue du chateau 41A, 7730 Estaimpuis",,True,House,"



317000

									€ 317.000
					",,4,196m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/1190-forest/5194011?l=1958031493,1190 Forest,,False,Flat,"



485000

									€ 485.000
					",,3,126m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-neuve-6-7640-antoing/856516?l=784483571,"Rue neuve 6, 7640 Antoing",,True,House,"



59000

									€ 59.000
					",,2,131m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/van-gansenstraat-9-2250-olen/2547123?l=1132664977,"Van gansenstraat 9, 2250 Olen",,True,House,"



192500

									€ 192.500
					",,2,131m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-de-l'arsenal-7-1-7500-tournai/891103?l=141956251,"Rue de l'arsenal 7/1, 7500 Tournai",,False,Flat,"



60000

									€ 60.000
					",,2,23m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/61775-1060-saint-gilles/5194017?cl=1940579395%2C1980244140,1060 Saint-Gilles,,False,Flat,0,,2,23m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/1180-uccle/5194020?l=758638777,1180 Uccle,,False,Flat,"



330000

									€ 330.000
					",,2,85m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-de-marcasse-9-7340-wasmes/665390?l=1599561294,"Rue de marcasse 9, 7340 Wasmes, Colfontaine",,True,House,"



162000

									€ 162.000
					",,3,85m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/1300-wavre/5201714?l=1707756112,Ground floor for sale in Wavre,,False,Flat,"



198000

									€ 198.000
					",,2,75m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/6030-marchienne-au-pont/5206725?l=392935521,"Marchienne Etat, 6030 Marchienne-au-Pont, Charleroi",,True,House,"



320000

									€ 320.000
					",,6,240m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/boulevard-auguste-reyers-8-1030-schaerbeek/143576?cl=1880109676%2C1458592135%2C1062594959%2C402809738,"Boulevard Auguste Reyers 8, 1030 Schaerbeek",,False,Flat,0,,6,240m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/pieter-colpaertsteeg-1-9000-gent/4352567?l=109784694,Residence for sale in Gent,,True,House,"



498000

									€ 498.000
					",,4,240m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/braemstraat-84-9050-gentbrugge/4259282?l=1672585341,Residence for sale in Gentbrugge,,True,House,"



489000

									€ 489.000
					",,4,240m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/boerenkrijgsingel-25-3500-hasselt/4743694?l=1333664376,Flat - Apartment for sale in Hasselt,,False,Flat,"



295000

									€ 295.000
					",,2,96m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rijksweg-983-3650-elen/4993423?l=673487879,Residence for sale in Elen,,True,House,"



395000

									€ 395.000
					",,3,96m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/grauwe-broedersstraat-38-8600-diksmuide/3386041?l=1514406420,Residence for sale in Diksmuide,,True,House,"



189000

									€ 189.000
					",,3,90m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-jerome-noel-15-1325-chaumont-gistoux/1664030?l=1614806558,Residence for sale in Chaumont-Gistoux,,True,House,"



625000

									€ 625.000
					",,5,300m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/papdijk-7-9185-wachtebeke/4461298?l=1306816549,Residence for sale in Wachtebeke,,True,House,"



675000

									€ 675.000
					",,4,342m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-marconi-104-1190-forest/88412?l=915597856,Residence for sale in Vorst,,True,House,"



315000

									€ 315.000
					",,2,118m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/vrijheidsstraat-4-8530-harelbeke/3494016?l=2131093034,Residence for sale in Harelbeke,,True,House,"



165000

									€ 165.000
					",,4,136m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/varenstraat-156-2620-hemiksem/2051454?l=1479694385,Residence for sale in Hemiksem,,True,House,"



399000

									€ 399.000
					",,2,136m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/donkerlei-7-2800-mechelen/2303079?l=100192828,Residence for sale in Mechelen,,True,House,"



307000

									€ 307.000
					",,5,146m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/koning-albertstraat-21-8210-veldegem/3328999?cl=40250329%2C741845021,"Koning Albertstraat 21, 8210 Veldegem, Zedelgem",,False,Flat,0,,5,146m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/spanjaardstraat-18-8610-kortemark/3406153?l=898079214,Residence for sale in Kortemark,,True,House,"



339950

									€ 339.950
					",,4,146m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/peterseliestraat-98-8000-brugge/3267014?l=2054854128,Residence for sale in Brugge,,True,House,"



349000

									€ 349.000
					",,3,146m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/burgemeester-potiaulaan-48-9200-sint-gillis-bij-dendermonde/4053989?l=839776139,Flat - Apartment for sale in Dendermonde,,False,Flat,"



289000

									€ 289.000
					",,3,148m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/stationsstraat-100-9850-landegem/4443224?cl=523921814%2C632120728%2C1226142540%2C753163330,"Stationsstraat 100, 9850 Landegem, Deinze",,False,Flat,0,,3,148m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/lestpolder-63-9506-zandbergen/3953094?l=1948313972,"Lestpolder 63, 9506 Zandbergen, Grimminge",,True,House,"



199000

									€ 199.000
					",,3,150m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/03724-moraira/1?l=1473170345,Residence for sale in Moraira,,True,House,"



1200000

									€ 1.200.000
					",,3,476m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/lispersteenweg-21-2500-lier/2286656?l=497141683,Residence for sale in Lier,,True,House,"



267000

									€ 267.000
					",,4,176m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/peperstraat-20-9000-gent/4351601?l=571781957,Flat - Apartment for sale in Gent,,False,Flat,"



379000

									€ 379.000
					",,2,176m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/8370-uitkerke/5202067?l=2037266878,Residence for sale in Uitkerke,,True,House,"



275000

									€ 275.000
					",,3,150m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/vrijheidstraat-48-2850-boom/1986848?l=828545873,Duplex for sale in Boom,,False,Flat,"



259000

									€ 259.000
					",,2,170m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/ermietshoek-1-8480-ichtegem/3629636?l=1265327873,"Ermietshoek 1 b, 8480 Ichtegem",,True,House,"



397000

									€ 397.000
					",,4,225m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/h.-thiemannstraat-3630-vucht/5081279?l=1584153003,"H. Thiemannstraat, 3630 Vucht, Maasmechelen",,True,House,"
									No price available
					",,3,183m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/8300-knokke/5202369?l=1051529894,"De Lac, 8300 Knokke",,False,Flat,"



795000

									€ 795.000
					",,3,180m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/piers-de-raveschootlaan-8300-knokke/3368159?l=399856744,"Piers de raveschootlaan, 8300 Knokke",,False,Flat,"



447500

									€ 447.500
					",,2,75m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/8300-knokke/5202366?l=2030567731,"Knokke Heilig Hart, 8300 Knokke",,False,Flat,"



430000

									€ 430.000
					",,1,66m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/8300-knokke/5202368?l=137054680,"Elisabethlaan - Het Zoute, 8300 Knokke, Knokke het zoute",,False,Flat,"



850000

									€ 850.000
					",,2,150m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/oude-vierschaarstraat-3-9831-deurle/4454108?l=844823827,"Oude vierschaarstraat 3, 9831 Deurle",,True,House,"



875000

									€ 875.000
					",,5,500m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/omstraat-3720-kortessem/5032626?l=1929989680&cl=1149833108%2C1755571377%2C1739917435%2C1130594822%2C740819981%2C164986376%2C1921249303%2C1581804050%2C997649433%2C1680041508%2C1105844259%2C714494510%2C375182389,"Omstraat, 3720 Kortessem",,False,Newbuild project,0,,5,From 125m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/koning-albert-i-laan-30-8370-blankenberge/3213389?l=211487536,"Koning albert-I-Laan 30, 8370 Blankenberge",,True,House,"



299000

									€ 299.000
					",,3,328m2,No,No,Yes,No,,Yes,,,No,,,,No
2,https://www.realo.be/en/rue-de-bruxelles-43-7130-binche/799268?l=1044084929,"Rue de bruxelles 43, 7130 Binche",,True,House,"



90000

									€ 90.000
					",,4,130m2,No,No,Yes,No,,Yes,,,No,,,,No
2,https://www.realo.be/en/rue-saint-gilles-37-4000-liege/1096502?l=542437078,"Rue saint gilles 37, 4000 Liège, LiÈge",,True,House,"



199000

									€ 199.000
					",,9,130m2,No,No,Yes,No,,Yes,,,No,,,,No
2,https://www.realo.be/en/pierre-gasseestraat-7-1080-molenbeek-saint-jean/127880?l=467792588,"Pierre gasseestraat 7, 1080 Molenbeek-Saint-Jean",,False,Flat,"



545000

									€ 545.000
					",,3,307m2,No,No,Yes,No,,Yes,,,No,,,,No
2,https://www.realo.be/en/hille-125-8750-zwevezele/3834332?l=1993333464,"Hille 125 0202, 8750 Zwevezele, Wingene",,False,Flat,"



182000

									€ 182.000
					",,3,92m2,No,No,Yes,No,,Yes,,,No,,,,No
2,https://www.realo.be/en/7500-tournai/5195305?l=218194141,7500 Tournai,,True,House,"



185000

									€ 185.000
					",,2,150m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-du-chateau-41a-7730-estaimpuis/862858?l=1017304802,"Rue du chateau 41A, 7730 Estaimpuis",,True,House,"



317000

									€ 317.000
					",,4,196m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/belgielaan-3-9051-sint-denijs-westrem/4253704?l=409946345,"Belgiëlaan 3, 9051 Sint-Denijs-Westrem",,True,House,"



665000

									€ 665.000
					",,3,245m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-neuve-6-7640-antoing/856516?l=784483571,"Rue neuve 6, 7640 Antoing",,True,House,"



59000

									€ 59.000
					",,2,131m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/1190-forest/5194011?l=1958031493,1190 Forest,,False,Flat,"



485000

									€ 485.000
					",,3,126m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/van-gansenstraat-9-2250-olen/2547123?l=1132664977,"Van gansenstraat 9, 2250 Olen",,True,House,"



192500

									€ 192.500
					",,3,126m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-de-l'arsenal-7-1-7500-tournai/891103?l=141956251,"Rue de l'arsenal 7/1, 7500 Tournai",,False,Flat,"



60000

									€ 60.000
					",,3,23m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/1180-uccle/5194020?l=758638777,1180 Uccle,,False,Flat,"



330000

									€ 330.000
					",,2,85m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/61775-1060-saint-gilles/5194017?cl=1940579395%2C1980244140,1060 Saint-Gilles,,False,Flat,0,,2,85m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-de-marcasse-9-7340-wasmes/665390?l=1599561294,"Rue de marcasse 9, 7340 Wasmes, Colfontaine",,True,House,"



162000

									€ 162.000
					",,3,85m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/1300-wavre/5201714?l=1707756112,Ground floor for sale in Wavre,,False,Flat,"



198000

									€ 198.000
					",,2,75m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/6030-marchienne-au-pont/5206725?l=392935521,"Marchienne Etat, 6030 Marchienne-au-Pont, Charleroi",,True,House,"



320000

									€ 320.000
					",,6,240m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/boulevard-auguste-reyers-8-1030-schaerbeek/143576?cl=1880109676%2C1458592135%2C1062594959%2C402809738,"Boulevard Auguste Reyers 8, 1030 Schaerbeek",,False,Flat,0,,6,240m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/braemstraat-84-9050-gentbrugge/4259282?l=1672585341,Residence for sale in Gentbrugge,,True,House,"



489000

									€ 489.000
					",,4,240m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/pieter-colpaertsteeg-1-9000-gent/4352567?l=109784694,Residence for sale in Gent,,True,House,"



498000

									€ 498.000
					",,4,240m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/boerenkrijgsingel-25-3500-hasselt/4743694?l=1333664376,Flat - Apartment for sale in Hasselt,,False,Flat,"



295000

									€ 295.000
					",,2,96m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rijksweg-983-3650-elen/4993423?l=673487879,Residence for sale in Elen,,True,House,"



395000

									€ 395.000
					",,3,96m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/grauwe-broedersstraat-38-8600-diksmuide/3386041?l=1514406420,Residence for sale in Diksmuide,,True,House,"



189000

									€ 189.000
					",,3,90m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-jerome-noel-15-1325-chaumont-gistoux/1664030?l=1614806558,Residence for sale in Chaumont-Gistoux,,True,House,"



625000

									€ 625.000
					",,5,300m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/papdijk-7-9185-wachtebeke/4461298?l=1306816549,Residence for sale in Wachtebeke,,True,House,"



675000

									€ 675.000
					",,4,342m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-marconi-104-1190-forest/88412?l=915597856,Residence for sale in Vorst,,True,House,"



315000

									€ 315.000
					",,2,118m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/vrijheidsstraat-4-8530-harelbeke/3494016?l=2131093034,Residence for sale in Harelbeke,,True,House,"



165000

									€ 165.000
					",,4,136m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/varenstraat-156-2620-hemiksem/2051454?l=1479694385,Residence for sale in Hemiksem,,True,House,"



399000

									€ 399.000
					",,2,136m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/donkerlei-7-2800-mechelen/2303079?l=100192828,Residence for sale in Mechelen,,True,House,"



307000

									€ 307.000
					",,5,146m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/koning-albertstraat-21-8210-veldegem/3328999?cl=40250329%2C741845021,"Koning Albertstraat 21, 8210 Veldegem, Zedelgem",,False,Flat,0,,5,146m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/spanjaardstraat-18-8610-kortemark/3406153?l=898079214,Residence for sale in Kortemark,,True,House,"



339950

									€ 339.950
					",,4,146m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/peterseliestraat-98-8000-brugge/3267014?l=2054854128,Residence for sale in Brugge,,True,House,"



349000

									€ 349.000
					",,3,146m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/burgemeester-potiaulaan-48-9200-sint-gillis-bij-dendermonde/4053989?l=839776139,Flat - Apartment for sale in Dendermonde,,False,Flat,"



289000

									€ 289.000
					",,3,148m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/stationsstraat-100-9850-landegem/4443224?cl=523921814%2C632120728%2C1226142540%2C753163330,"Stationsstraat 100, 9850 Landegem, Deinze",,False,Flat,0,,3,148m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/lestpolder-63-9506-zandbergen/3953094?l=1948313972,"Lestpolder 63, 9506 Zandbergen, Grimminge",,True,House,"



199000

									€ 199.000
					",,3,150m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/03724-moraira/1?l=1473170345,Residence for sale in Moraira,,True,House,"



1200000

									€ 1.200.000
					",,3,476m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/lispersteenweg-21-2500-lier/2286656?l=497141683,Residence for sale in Lier,,True,House,"



267000

									€ 267.000
					",,4,176m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/peperstraat-20-9000-gent/4351601?l=571781957,Flat - Apartment for sale in Gent,,False,Flat,"



379000

									€ 379.000
					",,2,176m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/8370-uitkerke/5202067?l=2037266878,Residence for sale in Uitkerke,,True,House,"



275000

									€ 275.000
					",,3,150m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/vrijheidstraat-48-2850-boom/1986848?l=828545873,Duplex for sale in Boom,,False,Flat,"



259000

									€ 259.000
					",,2,170m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/ermietshoek-1-8480-ichtegem/3629636?l=1265327873,"Ermietshoek 1 b, 8480 Ichtegem",,True,House,"



397000

									€ 397.000
					",,4,225m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/8300-knokke/5202369?l=1051529894,"De Lac, 8300 Knokke",,False,Flat,"



795000

									€ 795.000
					",,3,180m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/piers-de-raveschootlaan-8300-knokke/3368159?l=399856744,"Piers de raveschootlaan, 8300 Knokke",,False,Flat,"



447500

									€ 447.500
					",,2,75m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/8300-knokke/5202366?l=2030567731,"Knokke Heilig Hart, 8300 Knokke",,False,Flat,"



430000

									€ 430.000
					",,1,66m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/8300-knokke/5202368?l=137054680,"Elisabethlaan - Het Zoute, 8300 Knokke, Knokke het zoute",,False,Flat,"



850000

									€ 850.000
					",,2,150m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/oude-vierschaarstraat-3-9831-deurle/4454108?l=844823827,"Oude vierschaarstraat 3, 9831 Deurle",,True,House,"



875000

									€ 875.000
					",,5,500m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/h.-thiemannstraat-3630-vucht/5081279?l=1584153003,"H. Thiemannstraat, 3630 Vucht, Maasmechelen",,True,House,"
									No price available
					",,3,183m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/omstraat-3720-kortessem/5032626?l=1929989680&cl=1149833108%2C1755571377%2C1739917435%2C1130594822%2C740819981%2C164986376%2C1921249303%2C1581804050%2C997649433%2C1680041508%2C1105844259%2C714494510%2C375182389,"Omstraat, 3720 Kortessem",,False,Newbuild project,0,,3,From 125m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/koning-albert-i-laan-30-8370-blankenberge/3213389?l=211487536,"Koning albert-I-Laan 30, 8370 Blankenberge",,True,House,"



299000

									€ 299.000
					",,3,328m2,No,No,Yes,No,,Yes,,,No,,,,No
2,https://www.realo.be/en/rue-de-bruxelles-43-7130-binche/799268?l=1044084929,"Rue de bruxelles 43, 7130 Binche",,True,House,"



90000

									€ 90.000
					",,4,130m2,No,No,Yes,No,,Yes,,,No,,,,No
2,https://www.realo.be/en/rue-saint-gilles-37-4000-liege/1096502?l=542437078,"Rue saint gilles 37, 4000 Liège, LiÈge",,True,House,"



199000

									€ 199.000
					",,9,130m2,No,No,Yes,No,,Yes,,,No,,,,No
2,https://www.realo.be/en/pierre-gasseestraat-7-1080-molenbeek-saint-jean/127880?l=467792588,"Pierre gasseestraat 7, 1080 Molenbeek-Saint-Jean",,False,Flat,"



545000

									€ 545.000
					",,3,307m2,No,No,Yes,No,,Yes,,,No,,,,No
2,https://www.realo.be/en/hille-125-8750-zwevezele/3834332?l=1993333464,"Hille 125 0202, 8750 Zwevezele, Wingene",,False,Flat,"



182000

									€ 182.000
					",,3,92m2,No,No,Yes,No,,Yes,,,No,,,,No
2,https://www.realo.be/en/7500-tournai/5195305?l=218194141,7500 Tournai,,True,House,"



185000

									€ 185.000
					",,2,150m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-du-chateau-41a-7730-estaimpuis/862858?l=1017304802,"Rue du chateau 41A, 7730 Estaimpuis",,True,House,"



317000

									€ 317.000
					",,4,196m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/belgielaan-3-9051-sint-denijs-westrem/4253704?l=409946345,"Belgiëlaan 3, 9051 Sint-Denijs-Westrem",,True,House,"



665000

									€ 665.000
					",,3,245m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-neuve-6-7640-antoing/856516?l=784483571,"Rue neuve 6, 7640 Antoing",,True,House,"



59000

									€ 59.000
					",,2,131m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/1190-forest/5194011?l=1958031493,1190 Forest,,False,Flat,"



485000

									€ 485.000
					",,3,126m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/van-gansenstraat-9-2250-olen/2547123?l=1132664977,"Van gansenstraat 9, 2250 Olen",,True,House,"



192500

									€ 192.500
					",,3,126m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-de-l'arsenal-7-1-7500-tournai/891103?l=141956251,"Rue de l'arsenal 7/1, 7500 Tournai",,False,Flat,"



60000

									€ 60.000
					",,3,23m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/1180-uccle/5194020?l=758638777,1180 Uccle,,False,Flat,"



330000

									€ 330.000
					",,2,85m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/61775-1060-saint-gilles/5194017?cl=1940579395%2C1980244140,1060 Saint-Gilles,,False,Flat,0,,2,85m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-de-marcasse-9-7340-wasmes/665390?l=1599561294,"Rue de marcasse 9, 7340 Wasmes, Colfontaine",,True,House,"



162000

									€ 162.000
					",,3,85m2,No,No,Yes,No,,Yes,,,Yes,,,,No
